"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q1,1946Q2,1946Q3,1946Q4,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
"Security brokers and dealers; total financial assets ","Currency","1000000","USD",Z1/Z1/FL664090005.Q,FL664090005.Q,5022,ND,ND,ND,3422,ND,ND,ND,2630,ND,ND,ND,3115,ND,ND,ND,3650,ND,ND,ND,4039,ND,ND,ND,3760,3340,4180,3518,4149,3729,3825,4100,4551,4122,4907,5152,5595,5290,5512,5375,5910,5440,5374,5093,5331,4665,4973,5050,5477,5439,6731,5303,6071,5426,5480,5598,6171,4962,5303,6040,6700,5882,6677,6719,7648,6940,6749,7219,8431,7249,8206,8870,9167,8280,9303,9157,9862,9051,10499,8511,10349,9123,10507,8930,11286,11449,11516,12971,14731,13602,15112,17661,18513,14615,15847,12890,15402,13071,11741,13298,16246,14861,14332,14491,17610,17559,19128,19511,23935,19698,19255,18652,22294,18709,19969,20194,21249,21200,22818,22519,27486,30729,32478,36812,44145,38750,43360,43092,45517,47828,51584,54589,54369,53450,68706,70501,67470,63046,76056,77261,91220,90687,95747,93257,121345,102549,109250,129048,149990,141833,155530,174432,193504,186401,195440,209889,255130,229399,253334,265873,356926,372604,391443,405218,426495,432544,430299,471418,451702,480741,497066,517410,502446,553902,641187,621352,615811,596622,585681,584625,611464,636614,676860,733987,725379,736879,809304,900447,866870,963082,982082,1075908,1078672,1150376,1157470,1191533,1078913,1174312,1199260,1245359,1318132,1418952,1432981,1479369,1524421,1675604,1749969,1895065,1837633,2149500,2167522,2162561,1947576,2039113,2051072,2052233,2177094,2490880,2471863,2509752,2522374,2605015,2771937,2919959,2975864,3032331,2991422,2975691,2869132,3065545,3453736,3407760,3480456,3743074,3917262,4179266,4298177,4542507,4629056,4790104,4708550,5130413,5168426,5477961,5547796,6230096,6545134,6428153,6166708,6348464,5822971,5935976,4035201,3834583,3886466,4007087,3868204,4148060,4087722,4078395,4132946,4317382,4373357,4277450,4143391,4309519,4289161,4359467,4378225,4368228,4214058,4108945,4064272,4113030,4110476,4034508,3929484,3916504,3818821,3778726,3598663,3595172,3671525,3673303,3470742,3563052,3716336,3628267,3572690,3617734,3665854,3711484,3811421,3841980,3960068,4057843,3944754,4216861,3999172,4024560,4198805,4245145,4289165,4392226,4380278,4572680,4432482,4424155,4373062,4803777,4809159,4757062,4875773,5158858,5185290
"Security brokers and dealers; checkable deposits and currency; asset","Currency","1000000","USD",Z1/Z1/FL663020003.Q,FL663020003.Q,501,ND,ND,ND,730,ND,ND,ND,629,ND,ND,ND,558,ND,ND,ND,490,ND,ND,ND,635,ND,ND,ND,605,597,586,571,549,530,510,492,475,476,492,521,557,579,581,564,530,508,502,513,538,559,568,564,547,537,537,549,571,590,602,605,600,599,601,610,624,642,660,676,688,690,683,668,648,652,655,671,672,694,689,684,681,687,698,709,711,730,746,764,784,846,912,950,990,1124,1274,1398,1465,1487,1470,1427,1386,1322,1225,1131,1073,1040,1059,1087,1097,1101,1106,1104,1081,1040,975,907,854,818,791,771,752,740,730,729,738,903,1011,964,1018,1082,1130,1077,1036,1120,1102,1299,1225,1374,1526,1936,2205,2647,2711,2905,2997,2950,2720,3139,2844,3398,3275,4557,4504,3952,4013,3421,3641,3726,3525,3488,3904,3937,3751,4200,6275,5531,5225,6196,8450,6775,6312,5968,7448,9656,10951,10172,9390,8812,9731,8749,9758,10145,8726,10879,10248,10168,10594,9071,10191,9976,10313,10651,10367,11086,10872,11007,12281,14913,14181,13459,12022,13990,13270,14788,13749,12924,15327,15300,15651,14760,18078,18951,21682,24927,22235,25934,25378,24459,27641,26734,28711,27117,26969,20781,30329,30954,37066,53727,47120,43054,45690,40460,44217,44176,43579,43857,47162,52962,53428,53080,62881,60832,58952,57728,56460,62521,74653,69778,80480,81859,89825,86295,104980,122378,115605,161934,120078,103164,92028,81933,90721,90177,86072,89523,96923,88761,105410,111054,111849,117367,105181,113489,128190,111634,121757,116797,111720,112216,114345,116708,111762,117661,114093,115552,106076,110885,113972,124060,119201,126949,120284,119526,118959,124613,115342,112503,126243,108791,118901,119011,125234,161986,138968,133937,138428,136850,132606,137145,140673,146641,150050,153198,148840,132702,136767,130134,128330,127898,120876
"Security brokers and dealers; security repurchase agreements; asset","Currency","1000000","USD",Z1/Z1/FL662051003.Q,FL662051003.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1000,1500,2000,2491,3206,3531,5344,6511,7487,9860,10066,10815,11882,13175,16130,16338,20791,22972,26640,19397,24212,22023,32911,25376,29665,34394,47727,34832,41500,50153,43738,49007,53224,62693,78562,81202,93633,92034,109699,106799,108989,116430,143180,136776,155422,180321,188407,197168,210448,240369,264626,282706,289479,323899,312062,347904,387628,350241,317274,327226,317861,329569,297813,326912,344404,359831,319012,336591,378374,401339,407726,439658,447275,504000,490861,552305,560631,589408,487740,538204,568510,584830,591187,643711,672305,678846,674251,726717,732277,814683,773165,828640,838291,793020,681271,701566,701006,722563,726688,728626,751545,735559,798457,853403,882604,888072,909954,949294,986128,1050004,1016817,987076,1081286,1020545,1035966,1125794,1269228,1372586,1314909,1389900,1432068,1515538,1441689,1475444,1481833,1560711,1426501,1588288,1631506,1621607,1593897,1687891,1693690,1778442,1288380,1353304,1306277,1348320,1185046,1409996,1494231,1419807,1428487,1488070,1505538,1649834,1583056,1550051,1575758,1608449,1638171,1518523,1478930,1413888,1320966,1273270,1230272,1220427,1152749,1138802,1171209,1243636,1133265,1115289,1197401,1204260,1112676,1098910,1164664,1103574,1109021,1113735,1136123,1164809,1315208,1321178,1360866,1470077,1400064,1482987,1282187,1279046,1322112,1238027,1133415,1211237,1255380,1324401,1345487,1330517,1461523,1660629,1637888,1604169,1625768,1660363,1708836
"Security brokers and dealers; debt securities; asset","Currency","1000000","USD",Z1/Z1/LM664022005.Q,LM664022005.Q,2715,ND,ND,ND,1648,ND,ND,ND,905,ND,ND,ND,1489,ND,ND,ND,1542,ND,ND,ND,1403,ND,ND,ND,1184,874,1699,834,1486,914,821,1140,1608,1219,1738,1626,1635,1150,1182,1067,1387,1091,1015,817,965,570,659,819,1354,1220,1940,775,1242,825,719,882,1232,637,896,1405,1891,1207,1383,1525,2043,1852,1968,2014,2964,1923,1972,2202,1921,1479,2257,2564,2674,2104,3132,1721,2449,1605,2303,1595,3235,3379,2340,2632,2888,2509,2305,4211,3534,1823,2851,2087,3670,3436,2351,3850,6003,4520,3394,3579,4642,3316,3303,3569,5958,3920,4587,4897,7526,5287,6092,6822,7750,7625,7695,6863,8775,9284,8972,12754,16584,8715,10183,7849,11274,9026,8350,6745,7564,7847,13996,10125,3946,8109,12163,10689,6554,19065,16750,14043,20949,21481,18862,17758,36187,19159,19032,25032,25539,19493,14695,27278,54122,26648,34157,39456,58195,72666,71529,70014,66254,51374,36325,30299,39779,42765,34283,33693,23518,37374,67678,69531,103686,72870,68025,50423,106479,91624,100863,124282,123988,108325,135236,145374,122695,140812,154700,154734,137533,115219,100804,95331,93329,101106,137410,136112,180876,153285,134950,143485,163810,159711,154492,158132,175194,235435,202356,239004,182635,204568,152055,159971,147857,187397,180131,234835,214702,308411,278601,356303,305789,289586,342998,325826,335518,381982,332174,365973,415017,395180,314079,440788,380661,424130,439468,412535,455243,471606,439393,502975,541659,632100,535151,667426,750262,810638,637566,764964,661503,543767,553287,490977,465209,492790,478946,491051,510121,509960,500696,456198,508850,580102,567609,557200,616781,577613,489630,471728,442611,417558,395317,348337,349566,359908,333952,322916,313255,308064,333035,329356,325588,352455,379026,337319,337571,309821,342114,331270,478038,471011,484500,486508,449257,506052,499141,432108,389126,187190,216287,204378,196572,139016,175467,246381,311413,420520,404978,435421,447733,541536,530748
"Security brokers and dealers; commercial paper; asset","Currency","1000000","USD",Z1/Z1/FL663069103.Q,FL663069103.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,3999,3492,4287,7217,3610,3810,3336,6670,6081,5383,4166,5804,4960,8025,7861,7169,6144,7913,6655,6750,6799,10730,8031,11572,9425,13009,14399,16447,8315,8954,10208,11598,10641,11596,13092,17301,10499,12618,13928,14549,16125,18140,15109,12599,10042,11354,12846,14150,14564,17381,14158,14773,15336,15736,14202,17811,17097,14484,14150,18393,17322,14620,14795,13958,13573,16668,16195,15200,15752,15267,14642,14868,11372,18676,12164,11207,16822,17480,22130,22065,16766,19921,18072,23686,25226,25935,24340,24258,25079,28296,33417,28031,28801,28785,29344,25987,30206,38226,45430,39210,44637,44830,50792,48160,47646,50808,44347,43495,46693,41865,46074,49356,49519,49956,49876,48015,50399,62476,63811,60246,66698,67615,73995,64305,77128,79874,86029,87115,107489,102908,153941,65701,49879,61262,49532,41538,38495,33091,34189,36240,39578,42229,40742,42143,43707,34691,33220,29934,29958,29399,30953,28654,34350,32400,20877,20840,21692,19634,19537,19472,20276,17024,13587,13773,11719,11936,11740,9307,15419,13292,16817,11448,13916,11972,13773,8544,20710,13009,11027,8211,9206,11670,13999,16319,22237,15634,23408,19008,28288,28983,24731,19644,24993,23290
"Security brokers and dealers; Treasury securities (net); asset","Currency","1000000","USD",Z1/Z1/LM663061105.Q,LM663061105.Q,1881,ND,ND,ND,917,ND,ND,ND,262,ND,ND,ND,820,ND,ND,ND,703,ND,ND,ND,586,ND,ND,ND,313,191,1121,180,709,208,145,426,640,443,869,674,666,322,228,218,264,111,122,114,243,113,87,223,449,332,867,199,604,408,275,401,428,158,204,580,1021,543,517,763,1305,1142,1122,1146,1976,1048,963,1394,718,569,1021,1535,1374,955,1510,595,1082,909,818,893,1742,2140,710,985,983,968,905,2543,1766,733,1120,866,1728,2155,620,2007,3398,1924,1477,1884,1799,1397,1107,1770,2012,1365,1430,1889,2008,971,827,1723,2256,2713,1813,1254,1152,2719,2571,5143,5604,1624,1990,148,350,-947,-884,-902,-1605,-444,1998,-1551,-7023,-246,-137,465,-4746,8332,1130,1962,2958,6685,-722,-4991,9199,3492,-871,4483,-473,-2602,-7718,491,12140,-1600,-3507,-3436,-4011,14590,12498,11164,4120,-6126,-17144,-26607,-16685,-15703,-31253,-31306,-47396,-35659,-8745,-4995,21506,-2986,-11205,-33339,7277,-6815,-5679,8904,5669,-15437,-5661,-427,-7657,-4995,-1318,-19674,-28313,-44830,-53124,-45723,-42684,-29236,-129,-8106,18274,5215,-14080,-3985,-12836,-22758,-28009,-42821,-5344,31929,-29276,38103,15817,48120,-12250,-21843,-42626,-6509,-24138,7847,-3252,61131,1549,48095,12174,-4673,-3849,-3337,2574,11909,-27585,-3729,449,-7884,-89329,-27190,-62545,-45074,-77454,-89334,-69937,-66554,-116715,-93890,-83443,-76461,-131117,-50421,-23010,-4738,-32117,-13148,64620,83280,85504,38616,43261,58615,50268,50423,50578,31904,30458,48323,130705,129563,152726,127128,184532,147442,134148,150170,123718,100047,89257,64616,54200,69101,59714,72445,77314,102212,110477,117027,103427,117800,142329,128816,120651,97496,144787,126117,250357,235078,255805,215613,214060,232702,268351,213382,215152,95505,113029,93490,98990,83399,89536,126978,170650,265859,257941,248129,269210,304324,309246
"Security brokers and dealers; agency- and GSE-backed securities (net); asset","Currency","1000000","USD",Z1/Z1/LM663061705.Q,LM663061705.Q,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,ND,ND,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,2440,3660,4880,6100,7320,8540,9760,10908,12200,13420,14640,15860,17080,18300,19520,20740,21960,23180,24400,25620,27324,31485,44013,45290,49116,54652,54029,57617,66514,62053,52981,60300,65400,73800,60800,58600,55300,50000,45000,45000,42000,46000,54000,50000,48200,46500,55200,53807,53744,66391,50432,67883,86937,61524,50922,32874,34718,57294,65950,50284,55092,62613,63695,75298,96345,137587,116660,122486,148482,135610,129262,163226,134460,128710,151609,142625,129758,184639,159478,160790,179082,155942,135786,148695,161322,180419,185690,214199,146302,199011,276823,299613,268221,366278,377250,279769,259643,223225,208200,214253,222820,219977,213608,220779,225341,218782,216152,239276,235757,244901,245631,227375,177309,143355,145718,143123,126702,122657,150738,139791,129872,127814,118352,113504,122364,107121,108573,118619,123423,109612,97405,91711,77135,79811,117181,127725,129930,152684,139526,170142,134211,107625,77803,4849,12440,17628,53758,21092,58112,68185,108606,109964,86527,120577,121397,158991,141860
"Security brokers and dealers; municipal securities; asset","Currency","1000000","USD",Z1/Z1/LM663062003.Q,LM663062003.Q,340,ND,ND,ND,340,ND,ND,ND,243,ND,ND,ND,267,ND,ND,ND,252,ND,ND,ND,370,ND,ND,ND,384,300,200,70,228,150,100,100,430,300,300,300,300,300,300,300,300,300,200,100,100,0,100,100,200,325,370,215,215,275,250,180,302,276,457,450,400,443,504,473,333,479,538,425,523,636,643,494,514,520,596,673,693,750,835,754,453,333,618,324,465,783,638,469,506,454,669,663,548,345,336,350,361,557,390,612,915,890,489,946,1028,714,767,644,912,595,687,718,1130,590,588,605,705,532,573,587,631,1131,1262,1368,1672,1590,2129,2213,2104,1714,1972,1585,1877,1755,1904,1888,2184,1108,1738,1718,2509,1696,2066,1766,3004,1873,2431,3108,4628,3319,3821,3614,6472,3696,3370,4944,11008,4511,5498,6133,19922,8541,7737,10210,16595,12233,8357,7971,8286,6006,7375,6967,7480,4891,7017,5786,7097,6162,6726,7389,7894,6636,9149,8435,9448,7866,10120,9364,11313,9904,14351,14216,17133,13079,12503,12402,15455,10838,11702,9305,12723,8866,8802,7867,10830,10056,11363,11049,13203,12381,15294,14699,13145,12390,14339,12844,11947,10842,9868,10836,11289,12658,13677,15997,19010,13606,17419,20266,21026,19208,22129,24085,24858,25028,30172,33582,31961,36344,32413,35288,42885,35553,37889,38392,50868,48412,53953,45124,50122,66073,51803,61946,38741,38740,38308,41895,35430,40342,35015,39207,40017,36472,40045,36066,30899,34685,31167,29027,26632,31048,19031,18269,18637,16861,18197,16203,18865,20629,18963,15893,13951,18780,19655,25018,21038,19729,21193,17304,26681,25767,23166,22143,20738,16443,18355,20365,16429,13687,8680,10426,6780,8849,10709,12057,12675,11045,10143,14787,12021,10956,15530,15048,13486,15407,18064
"Security brokers and dealers; corporate and foreign bonds (net); asset","Currency","1000000","USD",Z1/Z1/LM663063005.Q,LM663063005.Q,494,ND,ND,ND,391,ND,ND,ND,400,ND,ND,ND,402,ND,ND,ND,587,ND,ND,ND,447,ND,ND,ND,487,383,378,584,549,556,576,614,538,476,569,652,669,528,654,549,823,680,693,603,622,457,472,496,705,563,703,361,423,142,194,301,502,203,235,375,470,221,362,289,405,231,308,443,465,239,366,314,689,390,640,356,607,399,787,372,914,363,867,378,1028,456,992,1178,1399,1087,731,1005,1220,745,1395,871,1581,724,1341,1231,1690,1706,1428,749,1815,955,929,405,2034,710,970,540,2388,1476,2177,1744,1789,1130,1809,1272,2992,1435,1647,1956,2091,1891,2254,2152,2150,2178,1879,1896,1488,1576,2069,1927,1616,1103,2649,1851,2041,2238,2824,2284,3415,3498,4144,5242,5913,4033,7128,6727,7942,7758,7447,8751,13673,12018,17108,19171,22855,27310,25834,24991,23180,24317,21558,22669,19388,22038,23700,25574,29141,32066,31710,31358,32872,26977,30696,30738,28902,29191,33657,37496,40884,44706,47595,58189,50858,59851,61000,71750,73045,76998,67449,66488,64351,57682,66357,66783,73814,72438,72107,75031,86930,93380,91459,99173,92645,98163,101105,91261,74720,82383,86463,82332,86599,102574,101083,108109,103760,114687,122200,103832,109785,110521,130138,128940,139161,140946,161305,170833,188745,185892,193522,199881,203752,221671,242951,246828,286263,287214,289282,304059,324239,368822,386139,387683,359212,342201,246751,195947,115191,92099,108570,137709,136780,141085,137752,147255,169678,181227,162623,112285,88951,132871,113268,122924,130052,141790,129743,128981,125884,123177,128761,123984,104923,108695,105769,87227,84166,53292,63515,66603,78777,84588,80145,69847,83527,79428,83734,86382,78314,77849,68438,84073,70698,68811,74890,89648,81180,68781,68439,67204,14830,1243,2042,13023,1128,5453,15997,26936,23996,37821,38288
"Security brokers and dealers; other loans and advances; asset ","Currency","1000000","USD",Z1/Z1/FL663069005.Q,FL663069005.Q,1252,ND,ND,ND,594,ND,ND,ND,636,ND,ND,ND,605,ND,ND,ND,969,ND,ND,ND,1492,ND,ND,ND,1421,1422,1454,1465,1502,1665,1854,1789,1866,1888,2045,2290,2672,2971,3033,3133,3108,3099,3102,3097,3142,3015,3210,3106,2805,3054,3486,3554,3770,3804,3901,3747,3773,3460,3507,3585,3649,4022,4482,4441,4723,4379,4001,4305,4564,4645,5423,5893,6095,5926,5927,5764,5610,5572,5592,5420,5986,6137,6303,5905,5950,6479,6983,7922,9164,8593,10514,10759,12005,10271,9841,8216,8476,7298,6532,6795,7188,7302,8159,8785,9764,11646,13000,13394,13485,12401,10845,10181,9149,8502,8033,7732,7583,7581,7709,8030,8605,9959,11223,11645,12510,12936,14024,13981,14527,16401,18950,20731,17145,16326,18958,20249,17458,18735,18620,19972,24737,21807,22179,21068,23023,19250,19099,20798,25791,26743,32758,33781,34177,31723,32657,30415,31834,30614,36878,38968,50699,52848,52842,55521,57429,53567,56889,59395,41797,40625,41231,42131,43506,39338,44641,44294,42540,41977,40022,36722,38809,36867,37562,45059,55066,51227,56332,55840,53474,59775,59048,67376,76123,77033,76103,72568,75051,69850,68742,77352,81146,92005,93088,90515,98331,106144,116050,133977,138572,147314,158536,155927,159480,167378,190591,192629,234738,299730,282709,289020,250416,211781,214013,280936,216592,202596,184279,166664,163786,175380,256659,245767,200008,221463,236167,232995,286409,291863,281255,282905,264472,284094,291185,304488,345893,335740,400630,365383,393126,426194,361501,440350,264562,212229,215979,240619,290178,268619,290155,301018,345665,379129,379599,329027,321252,325469,314730,334708,369647,376951,385527,396576,426999,419086,475178,502533,500952,485319,501775,425757,408044,396526,396232,416857,381949,388343,396890,400233,434916,440129,428974,432947,421602,391989,406307,421034,431148,568906,493023,560277,664277,779482,821352,818668,840033,855467,821227,806810,661462,643656,638445,635416,651439,688524,691281
