"Table 2.3.3. Real Personal Consumption Expenditures by Major Type of Product, Quantity Indexes"
"Table 2.3.3. Real Personal Consumption Expenditures by Major Type of Product, Quantity Indexes"
"Last Revised on: November 27, 2024 - Next Release Date December 19, 2024"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
1,"        Personal consumption expenditures (PCE)",10.168,10.337,10.371,10.374,10.426,10.547,10.563,10.647,10.664,10.828,10.852,11.011,11.195,11.379,11.963,11.603,11.883,11.548,11.682,11.750,11.777,12.008,12.066,12.491,12.638,12.714,12.684,12.599,12.645,12.809,12.983,13.255,13.553,13.812,13.983,14.158,14.181,14.229,14.261,14.457,14.558,14.583,14.699,14.705,14.501,14.621,14.864,15.066,15.342,15.579,15.741,15.759,15.910,16.111,16.046,16.067,16.061,16.300,16.379,16.709,16.886,17.093,17.231,17.475,17.597,17.763,18.004,18.154,18.511,18.838,19.186,19.241,19.670,19.887,20.229,20.797,21.104,21.158,21.400,21.489,21.613,21.908,22.021,22.155,22.686,23.032,23.463,23.569,23.831,23.984,24.101,24.294,24.445,24.555,24.771,24.703,25.178,25.409,25.612,26.037,26.380,26.882,27.297,27.937,28.447,28.435,28.535,28.449,28.195,28.296,28.418,28.003,28.238,28.702,29.110,29.423,30.011,30.287,30.606,31.003,31.369,31.539,31.837,32.316,32.497,33.192,33.331,33.600,33.774,33.752,34.081,34.166,34.117,33.349,33.714,34.170,34.284,34.287,34.445,34.210,34.462,34.567,34.799,35.408,35.758,36.486,37.141,37.732,38.046,38.579,38.865,39.368,40.037,40.405,41.172,41.261,41.622,42.075,42.819,43.082,43.122,43.710,44.209,44.302,45.085,45.418,45.822,46.343,46.558,46.775,47.228,47.433,47.832,47.978,48.168,47.802,47.622,48.017,48.256,48.232,49.135,49.468,49.999,50.595,50.789,51.251,51.821,52.276,52.874,53.285,53.691,54.272,54.407,54.884,55.381,55.768,56.282,56.887,57.232,57.688,58.296,58.558,59.556,60.268,60.877,61.949,62.757,63.664,64.318,65.303,66.037,67.003,68.016,68.651,69.309,69.914,70.168,70.309,70.554,71.692,71.852,72.215,72.720,73.125,73.485,74.326,75.377,75.896,76.604,77.022,77.927,78.808,79.309,80.188,80.853,81.002,81.885,82.310,82.838,83.629,84.144,84.365,84.928,85.263,85.146,85.380,84.722,83.960,83.747,83.335,83.895,83.803,84.289,85.045,85.651,86.176,86.505,86.594,86.858,87.008,87.635,87.789,87.967,88.318,88.892,89.146,89.509,90.297,90.622,91.492,92.397,93.461,94.178,94.827,95.494,95.883,96.607,97.086,97.761,98.265,99.021,99.512,100.186,101.281,102.015,102.561,103.033,103.355,103.519,104.402,105.587,106.280,104.479,95.344,103.930,105.398,107.810,111.425,112.292,113.516,113.790,114.516,114.950,115.299,116.700,116.989,117.727,118.741,119.309,120.139,121.186
2,Goods,10.000,10.180,10.248,10.286,10.301,10.395,10.385,10.454,10.439,10.668,10.722,10.962,11.175,11.295,12.140,11.500,11.753,11.156,11.279,11.370,11.316,11.569,11.557,12.142,12.302,12.325,12.222,12.148,12.140,12.259,12.389,12.735,13.126,13.495,13.683,13.780,13.719,13.699,13.642,13.838,13.967,13.916,14.033,13.923,13.590,13.631,13.889,14.157,14.486,14.715,14.832,14.711,14.859,15.067,14.970,14.880,14.739,14.962,15.059,15.394,15.574,15.728,15.848,16.096,16.246,16.381,16.545,16.601,16.986,17.343,17.748,17.618,18.192,18.323,18.698,19.419,19.784,19.685,19.969,19.927,19.979,20.327,20.266,20.347,20.994,21.308,21.830,21.795,22.087,22.103,22.142,22.222,22.258,22.321,22.458,22.215,22.929,23.117,23.266,23.675,23.896,24.528,24.955,25.687,26.301,26.047,26.055,25.797,25.376,25.296,25.378,24.348,24.524,25.048,25.666,25.841,26.598,26.918,27.156,27.486,27.793,27.998,28.224,28.826,28.664,29.487,29.511,29.844,29.821,29.569,30.061,29.934,29.782,28.555,28.848,29.176,29.596,29.359,29.656,29.126,29.417,29.410,29.567,30.163,30.321,31.215,31.908,32.659,33.101,33.839,33.860,34.389,34.920,35.239,36.179,35.963,36.508,37.158,38.309,38.285,37.502,38.220,38.795,38.448,39.355,39.560,39.552,40.180,40.235,40.462,41.044,40.909,41.457,41.013,40.917,40.271,39.926,40.149,40.391,39.944,40.848,41.057,41.506,42.055,42.218,42.895,43.337,43.889,44.633,45.030,45.448,46.317,46.087,46.398,46.960,47.403,47.783,48.714,49.062,49.656,50.323,50.282,51.593,52.297,52.690,54.060,54.871,56.541,57.239,58.590,59.281,60.299,61.203,61.522,62.165,62.703,62.850,63.020,63.469,65.755,65.644,65.827,66.640,66.905,67.274,68.740,70.673,71.308,72.112,72.361,73.375,74.357,74.926,76.034,76.758,76.596,78.181,78.295,78.984,80.091,80.653,80.842,81.351,81.511,80.172,80.052,78.374,75.985,76.004,75.515,76.832,76.420,76.995,78.045,78.632,79.725,80.122,79.827,79.856,80.433,81.452,81.438,81.796,82.378,83.883,84.065,84.750,85.588,86.231,87.851,88.844,90.116,91.282,92.258,93.304,93.741,94.742,95.566,96.587,97.202,98.077,99.118,100.347,102.458,103.398,103.644,104.117,104.652,104.944,106.756,108.281,108.637,108.002,105.469,117.066,117.965,122.916,127.128,123.958,125.367,124.838,124.360,123.653,123.451,125.669,125.561,126.635,127.688,127.315,128.248,130.002
3,"    Durable goods",2.821,2.880,2.921,3.110,3.095,3.116,3.168,3.123,3.066,3.332,3.491,3.630,3.769,3.801,4.702,4.120,4.250,3.640,3.574,3.563,3.583,3.653,3.436,4.029,4.164,4.140,4.114,3.999,3.875,4.062,4.080,4.331,4.720,4.976,5.137,5.001,4.773,4.779,4.695,4.846,4.935,4.818,4.785,4.729,4.415,4.347,4.437,4.600,4.850,5.032,5.130,4.884,5.041,5.156,5.115,4.987,4.713,4.810,4.928,5.167,5.279,5.420,5.460,5.700,5.814,5.939,6.012,6.107,6.345,6.510,6.725,6.519,7.125,7.137,7.381,7.692,8.058,7.736,7.990,7.987,7.836,8.172,8.107,8.128,8.633,8.817,9.213,9.159,9.332,9.306,9.280,9.244,9.102,9.208,9.241,8.627,9.553,9.770,10.031,10.459,10.698,10.967,11.249,11.845,12.599,12.450,12.340,12.051,11.769,11.832,11.901,10.768,10.998,11.212,11.912,12.258,12.871,12.929,13.076,13.283,13.785,14.111,14.319,14.620,14.232,15.293,15.087,15.206,15.026,14.686,15.096,14.707,14.476,12.914,13.487,13.898,14.293,13.736,14.154,13.138,13.558,13.608,13.718,14.344,14.489,15.546,16.143,16.939,17.578,17.986,17.992,18.576,19.221,19.450,20.695,19.982,20.390,21.110,22.911,22.548,21.211,22.080,22.993,22.372,23.430,23.439,23.133,23.732,23.627,23.942,24.484,23.740,24.742,23.924,23.682,23.030,22.395,22.508,22.854,22.481,23.363,23.526,24.028,24.505,24.743,25.546,25.831,26.452,27.082,27.374,27.662,28.634,28.041,28.326,29.125,29.630,29.952,30.905,31.126,31.732,32.591,32.487,33.935,34.801,35.082,36.855,37.902,40.140,40.227,42.151,43.161,43.678,46.115,45.263,46.032,46.351,47.113,47.072,47.612,51.580,51.017,51.337,52.877,52.394,52.443,54.824,57.250,58.077,59.092,59.246,60.775,61.924,62.219,63.875,65.125,63.175,65.684,65.711,66.652,67.592,68.501,69.220,70.067,70.591,68.309,67.823,65.535,60.711,60.818,60.376,63.309,61.816,62.572,64.544,65.558,67.393,67.983,67.503,68.102,69.734,71.439,71.574,72.502,74.146,76.008,76.379,77.076,77.866,79.170,82.126,83.550,85.164,86.792,88.542,89.700,90.279,91.481,92.257,94.621,96.106,96.878,98.112,100.638,104.372,105.722,106.332,107.100,107.277,106.321,109.417,111.992,112.902,107.702,107.265,127.692,129.120,138.148,142.976,133.127,135.898,135.928,135.190,134.549,133.865,139.261,139.149,140.579,141.573,140.946,142.830,145.455
4,"        Motor vehicles and parts",5.646,5.747,5.436,6.190,6.600,6.227,6.404,6.780,7.050,8.564,8.848,8.881,9.529,9.977,12.250,11.356,10.919,9.170,8.426,7.864,7.960,8.296,6.786,9.714,10.598,10.362,10.256,9.511,8.906,9.882,9.546,10.506,12.381,13.607,14.090,13.101,11.625,11.198,10.827,11.611,12.398,11.888,11.531,11.560,9.750,9.611,9.618,10.248,11.298,11.995,12.471,10.982,12.128,12.588,12.822,12.109,10.544,10.834,11.161,12.140,12.710,13.205,13.019,14.119,14.542,14.932,14.953,15.251,15.623,15.793,16.539,15.038,18.163,17.802,18.399,18.608,19.762,17.813,18.346,18.248,17.337,18.883,18.334,17.818,20.121,20.457,21.698,21.427,21.977,21.554,21.805,21.426,20.002,20.623,20.420,16.629,21.799,22.507,23.478,24.962,25.125,25.828,26.301,28.382,30.616,29.692,28.669,26.815,24.923,24.780,25.504,21.443,22.337,22.369,25.213,26.215,28.738,28.772,28.957,29.184,31.787,31.849,32.003,32.258,30.947,35.081,33.880,33.752,33.113,30.316,31.755,30.502,30.526,24.466,27.099,27.468,30.158,27.225,29.300,25.351,28.235,27.886,28.216,30.674,29.931,34.134,35.358,37.688,39.355,39.981,39.369,40.886,43.387,43.976,49.052,43.803,44.459,46.856,53.313,48.751,42.727,46.156,49.898,46.791,50.547,49.452,47.500,48.826,48.790,48.923,51.150,47.069,51.211,48.613,47.829,45.156,41.897,41.631,43.645,42.650,45.007,45.532,46.159,47.077,46.468,48.624,48.456,50.457,51.991,51.116,50.770,52.252,49.929,49.889,51.122,51.989,52.526,53.345,53.228,53.668,56.062,54.155,57.694,59.241,57.518,61.955,62.798,68.629,65.419,70.075,70.285,68.208,74.000,68.682,69.912,70.113,72.061,70.857,71.702,82.535,76.917,76.645,81.595,77.635,77.085,80.297,82.788,81.846,82.388,80.726,83.094,84.707,81.516,83.750,85.986,75.170,77.741,77.961,79.321,79.284,80.136,80.238,79.844,80.325,76.056,73.193,69.387,61.231,62.720,63.196,70.363,63.795,63.157,66.907,68.435,71.581,71.035,67.670,67.815,71.164,73.506,73.395,74.041,76.598,78.329,78.700,78.304,78.399,80.108,83.753,84.799,86.480,89.061,91.695,91.906,90.968,91.603,91.809,95.290,97.643,97.030,97.120,100.748,105.102,102.890,103.441,104.580,104.575,99.701,101.901,103.095,103.598,92.243,91.443,110.210,109.130,120.718,125.394,106.866,108.389,109.281,108.162,106.617,106.152,113.589,111.602,109.945,108.370,106.248,107.944,110.476
5,"        Furnishings and durable household equipment",5.698,5.869,6.148,6.450,6.183,6.515,6.639,6.233,5.756,5.903,6.411,6.936,6.811,6.581,8.546,6.884,7.717,6.406,6.534,6.749,6.698,6.694,6.770,7.133,6.970,7.053,7.041,7.059,6.915,6.901,7.002,7.305,7.707,7.805,8.095,8.086,8.190,8.446,8.290,8.312,8.232,8.218,8.173,7.982,7.983,7.850,8.121,8.245,8.403,8.586,8.629,8.674,8.529,8.605,8.346,8.306,8.295,8.406,8.558,8.737,8.765,8.872,9.097,9.165,9.331,9.426,9.673,9.826,10.289,10.633,10.754,10.917,10.922,11.068,11.399,11.991,12.188,12.161,12.540,12.438,12.481,12.607,12.620,12.741,12.954,13.255,13.689,13.584,13.684,13.823,13.563,13.536,13.526,13.579,13.607,13.821,13.892,14.053,14.303,14.726,15.239,15.444,15.911,16.296,17.178,17.350,17.428,17.620,17.847,17.809,17.396,16.247,16.071,16.236,16.549,16.830,17.125,17.202,17.464,17.925,18.471,18.850,19.114,19.614,19.274,20.182,20.165,20.430,20.352,20.675,21.274,21.031,20.537,19.632,19.661,20.299,20.143,19.881,19.601,18.968,18.568,18.627,18.761,19.150,19.589,19.939,20.704,21.300,21.779,22.416,22.572,22.940,23.043,23.258,23.862,24.352,24.916,25.249,25.938,26.159,26.352,26.509,26.835,26.894,27.170,27.474,27.588,28.250,28.747,29.179,29.054,29.136,29.529,28.713,28.310,27.977,27.981,28.259,27.875,27.734,28.412,28.583,29.138,29.528,29.941,30.302,30.663,30.699,30.951,31.673,32.297,33.170,32.933,33.226,33.713,34.109,33.833,35.050,35.068,35.835,35.955,36.094,36.898,37.387,38.375,38.978,39.877,41.171,42.370,43.374,44.806,46.216,47.378,48.289,48.930,49.217,49.953,50.402,50.887,52.427,54.092,54.556,54.480,55.412,55.221,57.653,60.018,61.230,62.422,63.436,64.866,65.627,66.520,67.596,68.846,70.432,72.343,71.475,71.816,71.656,72.603,72.164,72.435,72.302,70.414,70.204,67.349,63.853,62.009,60.821,61.347,61.792,63.417,64.941,65.184,66.264,66.908,67.324,67.541,68.555,69.666,68.980,69.224,70.164,71.734,72.683,74.423,75.111,75.808,79.397,80.863,82.404,83.820,85.622,87.910,89.540,91.190,92.282,94.189,95.059,96.485,97.951,100.723,104.841,106.574,106.047,106.588,105.938,105.255,107.949,110.315,112.045,110.839,108.570,126.421,126.216,135.098,136.041,131.163,131.265,129.323,129.181,128.414,128.567,130.417,129.938,131.688,133.002,133.040,135.635,138.648
6,"        Recreational goods and vehicles",0.238,0.243,0.253,0.259,0.246,0.251,0.249,0.236,0.241,0.239,0.248,0.260,0.295,0.294,0.361,0.315,0.325,0.293,0.303,0.316,0.326,0.331,0.336,0.354,0.371,0.371,0.370,0.371,0.378,0.389,0.406,0.422,0.432,0.445,0.457,0.465,0.465,0.476,0.476,0.480,0.470,0.460,0.467,0.455,0.457,0.447,0.463,0.477,0.506,0.515,0.516,0.518,0.511,0.518,0.503,0.507,0.510,0.524,0.539,0.548,0.545,0.556,0.574,0.587,0.595,0.616,0.624,0.635,0.678,0.717,0.741,0.763,0.779,0.819,0.852,0.929,0.976,1.011,1.069,1.104,1.106,1.117,1.146,1.203,1.226,1.239,1.296,1.303,1.334,1.351,1.346,1.371,1.439,1.427,1.450,1.462,1.449,1.482,1.496,1.550,1.633,1.693,1.760,1.847,1.939,1.900,1.926,1.896,1.893,1.947,1.978,1.877,1.929,2.050,2.101,2.162,2.207,2.213,2.245,2.302,2.308,2.390,2.437,2.491,2.504,2.562,2.559,2.645,2.670,2.740,2.723,2.674,2.598,2.510,2.581,2.696,2.629,2.659,2.729,2.647,2.615,2.666,2.690,2.747,2.879,3.018,3.168,3.340,3.511,3.590,3.655,3.798,3.931,3.988,4.042,4.215,4.335,4.478,4.807,5.102,5.071,5.222,5.354,5.322,5.527,5.700,5.776,5.957,5.776,5.977,6.089,6.108,6.168,6.134,6.121,6.107,6.186,6.319,6.469,6.379,6.559,6.561,6.802,7.031,7.379,7.679,7.886,8.156,8.422,8.862,9.131,9.684,9.726,10.022,10.626,10.903,11.174,11.792,12.134,12.565,12.963,13.505,14.064,14.546,15.243,15.971,16.972,17.733,18.529,19.412,20.360,21.290,22.611,22.901,23.463,23.951,24.307,24.965,25.491,26.718,27.642,28.037,28.395,28.984,29.475,30.980,33.052,34.420,35.402,36.373,37.505,38.430,40.216,41.733,42.446,43.604,46.214,46.675,47.733,49.842,50.831,52.209,54.186,55.287,54.338,55.730,54.698,51.476,51.811,50.794,52.366,53.428,54.415,55.717,56.663,57.906,59.555,60.839,62.001,63.314,64.777,65.626,67.053,68.546,71.226,71.772,73.159,74.010,75.367,77.263,79.178,80.573,81.285,81.885,83.584,85.272,87.807,89.983,92.062,93.649,96.219,99.358,100.150,104.274,110.289,111.286,112.104,112.517,115.801,121.880,126.521,127.927,128.559,141.048,158.617,163.356,169.207,176.293,171.977,178.585,179.822,177.775,178.929,178.254,184.832,189.013,196.105,200.617,199.810,202.299,205.454
7,"        Other durable goods",4.492,4.470,4.617,4.634,4.622,4.634,4.654,4.668,4.551,4.529,4.484,4.573,4.591,4.668,4.954,4.774,4.882,4.805,4.884,5.037,5.072,5.193,5.302,5.487,5.494,5.438,5.373,5.335,5.258,5.498,5.800,5.918,5.758,5.978,6.004,6.221,6.109,6.194,6.324,6.448,6.277,6.117,6.471,6.420,6.303,6.265,6.432,6.558,6.460,6.583,6.611,6.723,6.612,6.726,6.619,6.610,6.593,6.670,6.804,7.036,7.154,7.398,7.439,7.618,7.537,7.647,7.772,7.714,8.007,8.193,8.552,8.564,8.876,8.795,9.166,9.905,10.703,10.510,10.599,10.451,10.435,10.729,10.631,10.839,11.104,11.749,11.924,12.023,12.233,12.216,12.061,12.116,12.454,12.449,12.946,13.138,12.994,13.239,13.494,13.595,13.586,13.903,14.131,14.608,15.390,15.781,16.097,16.601,16.693,17.055,16.917,16.354,16.925,17.281,18.127,18.572,19.106,19.462,19.739,19.771,18.473,20.342,21.268,22.440,21.267,21.749,22.070,21.954,20.995,21.561,21.990,21.361,20.721,18.946,18.947,19.962,19.908,20.075,20.191,19.577,19.483,20.099,20.042,20.267,20.968,21.424,22.035,22.641,23.184,24.084,24.418,25.281,25.353,25.521,26.337,27.021,27.576,28.065,28.817,31.673,30.086,30.204,29.840,30.176,30.820,31.015,31.044,31.466,30.986,31.325,31.480,32.135,32.372,31.421,31.524,31.258,30.964,31.000,29.884,29.226,30.337,30.503,31.195,31.491,31.694,32.134,33.054,32.871,33.350,33.549,34.011,34.788,34.305,34.632,34.762,35.166,35.860,36.997,37.245,37.990,38.159,38.152,39.081,40.114,40.985,42.408,43.229,44.160,46.010,46.628,48.028,50.495,50.753,52.376,52.675,52.342,51.630,50.390,50.048,51.607,52.951,53.926,54.384,55.483,55.617,58.311,61.068,63.000,64.569,64.260,64.888,66.068,68.137,69.477,69.839,72.429,75.021,74.831,75.318,76.735,77.272,79.481,80.790,80.823,78.873,78.038,76.947,73.278,73.156,73.613,74.638,74.888,76.783,76.867,78.088,79.395,79.985,80.796,81.819,81.001,82.694,83.267,84.963,85.827,86.716,85.723,85.978,88.606,89.794,92.079,93.401,95.399,96.689,98.309,99.003,99.685,98.950,97.939,98.570,98.474,98.421,98.671,101.143,101.766,103.311,105.229,105.220,106.831,108.481,109.096,112.104,111.854,107.007,86.756,121.393,127.025,133.374,141.098,141.561,146.481,145.372,147.671,147.490,144.372,146.301,145.899,147.590,150.906,154.840,154.652,155.549
8,"    Nondurable goods",17.937,18.244,18.328,18.088,18.148,18.325,18.214,18.452,18.524,18.575,18.413,18.714,18.954,19.174,19.505,19.072,19.422,19.138,19.540,19.769,19.606,20.062,20.415,20.714,20.843,20.938,20.746,20.777,20.978,20.922,21.186,21.543,21.766,22.168,22.317,22.770,23.027,22.970,22.985,23.169,23.309,23.397,23.722,23.567,23.355,23.566,23.997,24.327,24.643,24.848,24.943,25.097,25.160,25.435,25.286,25.304,25.454,25.794,25.814,26.165,26.382,26.488,26.694,26.843,26.990,27.082,27.330,27.295,27.763,28.292,28.845,28.901,29.177,29.456,29.897,31.006,31.231,31.527,31.754,31.666,32.021,32.260,32.230,32.376,33.013,33.419,33.951,33.958,34.335,34.411,34.540,34.771,35.069,35.047,35.299,35.711,35.857,35.939,35.866,36.110,36.229,37.208,37.721,38.433,38.665,38.338,38.518,38.366,37.851,37.600,37.681,37.009,37.080,37.901,38.272,38.179,38.952,39.551,39.854,40.273,40.247,40.244,40.443,41.312,41.488,41.808,42.132,42.675,42.864,42.781,43.282,43.511,43.489,42.901,42.795,42.963,43.342,43.535,43.631,43.798,43.879,43.804,43.991,44.442,44.586,45.111,45.797,46.355,46.473,47.489,47.525,47.891,48.183,48.559,48.958,49.395,50.021,50.466,50.571,50.983,51.049,51.439,51.481,51.544,52.100,52.514,52.876,53.428,53.669,53.751,54.290,54.905,54.834,54.894,54.983,54.431,54.457,54.777,54.869,54.397,55.207,55.439,55.770,56.329,56.385,56.833,57.396,57.795,58.569,59.032,59.541,60.173,60.389,60.686,60.901,61.215,61.612,62.403,62.847,63.356,63.737,63.765,64.785,65.238,65.706,66.505,66.987,67.903,69.163,69.819,70.140,71.570,70.942,72.350,72.828,73.527,73.090,73.434,73.772,74.395,74.708,74.759,74.884,75.781,76.394,77.006,78.428,78.878,79.483,79.802,80.374,81.193,81.957,82.604,82.912,84.074,84.935,85.108,85.595,86.785,87.080,86.896,87.169,87.098,86.423,86.556,85.294,84.480,84.448,83.942,84.209,84.478,84.928,85.394,85.713,86.351,86.638,86.455,86.160,86.140,86.769,86.670,86.713,86.715,88.027,88.106,88.783,89.643,89.930,90.847,91.615,92.707,93.630,94.195,95.182,95.543,96.436,97.285,97.595,97.756,98.683,99.625,100.197,101.496,102.237,102.306,102.634,103.341,104.242,105.423,106.441,106.536,108.105,104.563,111.872,112.504,115.464,119.364,119.472,120.204,119.397,119.042,118.303,118.327,119.058,118.951,119.858,120.934,120.678,121.180,122.537
